game_id,genre_id
549,53
550,14
550,3
551,14
551,16
551,3
552,14
552,3
553,6
553,16
553,91
553,3
554,14
554,3
555,14
555,3
556,14
556,3
557,21
557,6
558,24
558,6
558,66
559,14
559,6
560,14
560,6
561,14
561,6
562,14
562,6
563,14
563,6
564,14
564,3
565,14
565,3
566,14
566,3
567,13
567,12
567,68
568,13
568,12
568,68
569,14
569,1
569,45
569,42
570,14
570,3
571,14
571,45
571,3
572,22
572,6
572,14
573,92
573,71
573,39
573,69
574,22
574,6
574,53
574,14
575,12
575,68
575,32
576,60
576,9
576,15
576,61
577,6
577,78
578,54
578,45
578,59
578,93
579,14
579,3
580,14
580,6
581,85
581,87
581,28
582,1
582,5
582,3
583,43
583,54
583,3
583,14
583,16
583,45
583,52
584,14
584,6
585,52
585,30
585,34
586,14
586,6
587,18
587,3
587,94
587,6
587,17
588,18
588,3
588,94
588,6
588,17
589,18
589,3
589,94
589,6
589,17
590,18
590,3
590,94
590,6
590,17
591,18
591,3
591,94
591,6
591,17
592,64
592,65
592,19
593,1
593,11
593,4
593,3
594,22
594,6
594,14
595,2
595,4
595,3
596,18
596,3
596,94
596,6
596,17
597,18
597,3
597,94
597,6
597,17
598,18
598,3
598,94
598,6
598,17
599,18
599,3
599,94
599,6
599,17
600,18
600,3
600,94
600,6
600,17
601,82
601,51
601,16
601,19
601,83
601,65
602,14
602,48
602,27
602,28
603,33
603,6
604,44
604,69
604,39
604,35
604,41
604,95
605,6
605,56
605,78
606,65
606,19
606,51
606,16
607,22
607,14
607,45
607,3
608,69
608,39
608,16
608,71
608,41
609,17
609,18
609,6
609,3
610,51
610,16
610,96
610,19
610,65
611,14
611,12
611,68
611,29
612,37
612,6
612,3
612,97
613,51
613,14
613,39
613,98
613,6
613,7
614,33
614,6
615,6
615,56
615,78
616,22
616,6
616,3
617,12
617,68
617,25
617,32
618,33
618,6
619,6
619,56
619,78
620,22
620,6
620,14
621,22
621,6
621,14
622,43
622,54
622,3
622,60
622,21
