game_id,date
294,"Mar 5, 2015         "
295,"Feb 20, 2015        "
296,"Feb 18, 2015        "
297,"Feb 13, 2015        "
298,"Feb 10, 2015        "
299,"Feb 5, 2015         "
300,"Dec 5, 2014         "
301,"Dec 5, 2014         "
302,"Nov 26, 2014        "
303,"Nov 21, 2014        "
304,"Nov 21, 2014        "
305,"Nov 21, 2014        "
306,"Nov 21, 2014        "
307,"Nov 13, 2014        "
308,"Nov 7, 2014         "
309,"Oct 24, 2014        "
310,"Oct 24, 2014        "
311,"Oct 24, 2014        "
312,"Oct 24, 2014        "
313,"Oct 16, 2014        "
314,"Oct 3, 2014         "
315,"Sep 26, 2014        "
316,"Sep 20, 2014        "
317,"Aug 29, 2014        "
318,"Aug 29, 2014        "
319,"Aug 29, 2014        "
320,"Aug 7, 2014         "
321,"Jun 19, 2014        "
322,"Jun 13, 2014        "
323,"Jun 13, 2014        "
324,"Jun 6, 2014         "
325,"May 30, 2014        "
326,"May 18, 2014        "
327,"May 2, 2014         "
328,"May 2, 2014         "
329,"Apr 25, 2014        "
330,"Apr 17, 2014        "
331,"Apr 11, 2014        "
332,"Apr 3, 2014         "
333,"Mar 20, 2014        "
334,"Mar 14, 2014        "
335,"Feb 28, 2014        "
336,"Feb 21, 2014        "
337,"Feb 14, 2014        "
338,"Feb 13, 2014        "
339,"Feb 7, 2014         "
340,"Feb 5, 2014         "
341,"Feb 5, 2014         "
342,"Jan 9, 2014         "
343,"Dec 31, 2013        "
344,"Dec 18, 2013        "
345,"Dec 2, 2013         "
346,"Nov 22, 2013        "
347,"Nov 22, 2013        "
348,"Nov 22, 2013        "
349,"Nov 15, 2013        "
350,"Nov 7, 2013         "
351,"Nov 1, 2013         "
352,"Nov 1, 2013         "
353,"Oct 25, 2013        "
354,"Oct 12, 2013        "
355,"Oct 12, 2013        "
356,"Sep 27, 2013        "
357,"Sep 27, 2013        "
358,"Sep 20, 2013        "
359,"Sep 15, 2013        "
360,"Aug 29, 2013        "
361,"Aug 11, 2013        "
362,"Aug 9, 2013         "
363,"Aug 7, 2013         "
364,"Aug 4, 2013         "
365,"Jun 23, 2013        "
366,"Jun 20, 2013        "
367,"Jun 9, 2013         "
368,"May 24, 2013        "
369,"May 23, 2013        "
370,"May 23, 2013        "
371,"May 16, 2013        "
372,"May 9, 2013         "
373,"May 9, 2013         "
374,"May 9, 2013         "
375,"May 2, 2013         "
376,"Apr 26, 2013        "
377,"Apr 25, 2013        "
378,"Apr 25, 2013        "
379,"Apr 25, 2013        "
380,"Apr 21, 2013        "
381,"Apr 18, 2013        "
382,"Apr 11, 2013        "
383,"Apr 11, 2013        "
384,"Apr 11, 2013        "
385,"Apr 11, 2013        "
386,"Apr 4, 2013         "
387,"Mar 28, 2013        "
388,"Mar 28, 2013        "
389,"Mar 28, 2013        "
390,"Mar 28, 2013        "
391,"Mar 24, 2013        "
392,"Mar 24, 2013        "
393,"Mar 21, 2013        "
394,"Mar 18, 2013        "
395,"Mar 14, 2013        "
396,"Mar 14, 2013        "
397,"Mar 13, 2013        "
398,"Mar 7, 2013         "
399,"Mar 7, 2013         "
400,"Mar 7, 2013         "
401,"Feb 28, 2013        "
402,"Feb 28, 2013        "
403,"Feb 21, 2013        "
404,"Feb 14, 2013        "
405,"Feb 14, 2013        "
406,"Feb 14, 2013        "
407,"Feb 14, 2013        "
408,"Feb 10, 2013        "
409,"Feb 7, 2013         "
410,"Feb 4, 2013         "
411,"Jan 31, 2013        "
412,"Jan 17, 2013        "
413,TBA                 
414,"Dec 27, 2012        "
415,"Dec 20, 2012        "
416,"Dec 20, 2012        "
417,"Dec 5, 2012         "
418,"Dec 5, 2012         "
419,"Nov 27, 2012        "
420,"Nov 22, 2012        "
421,"Nov 18, 2012        "
422,"Nov 18, 2012        "
423,"Nov 18, 2012        "
424,"Nov 18, 2012        "
425,"Nov 11, 2012        "
426,"Nov 8, 2012         "
427,"Nov 5, 2012         "
428,"Oct 28, 2012        "
429,"Oct 25, 2012        "
430,"Oct 25, 2012        "
431,"Oct 22, 2012        "
432,"Oct 18, 2012        "
433,"Oct 15, 2012        "
434,"Oct 7, 2012         "
435,"Oct 7, 2012         "
436,"Oct 7, 2012         "
437,"Oct 4, 2012         "
438,"Oct 4, 2012         "
439,"Oct 4, 2012         "
440,"Oct 1, 2012         "
441,"Oct 1, 2012         "
442,"Oct 1, 2012         "
443,"Sep 28, 2012        "
444,"Sep 16, 2012        "
445,"Aug 19, 2012        "
446,"Jun 29, 2012        "
447,"Jun 18, 2012        "
448,"Jun 10, 2012        "
449,"May 20, 2012        "
450,"Apr 13, 2012        "
451,"Apr 12, 2012        "
452,"Apr 6, 2012         "
453,"Mar 23, 2012        "
454,"Mar 23, 2012        "
455,"Mar 16, 2012        "
456,"Mar 16, 2012        "
457,"Mar 11, 2012        "
458,"Feb 27, 2012        "
459,"Feb 22, 2012        "
460,"Feb 13, 2012        "
461,"Feb 10, 2012        "
462,"Feb 2, 2012         "
463,TBA                 
464,TBA 2011            
465,TBA 2011            
466,TBA                 
467,"Dec 22, 2011        "
468,"Dec 8, 2011         "
469,"Dec 5, 2011         "
470,"Dec 4, 2011         "
471,"Nov 20, 2011        "
472,"Nov 17, 2011        "
473,"Nov 14, 2011        "
474,"Nov 13, 2011        "
475,"Nov 10, 2011        "
476,"Oct 24, 2011        "
477,"Oct 24, 2011        "
478,"Oct 18, 2011        "
479,"Oct 2, 2011         "
480,"Sep 28, 2011        "
481,"Sep 22, 2011        "
482,"Sep 19, 2011        "
483,"Sep 19, 2011        "
484,"Sep 9, 2011         "
485,"Aug 26, 2011        "
486,"Aug 18, 2011        "
487,"Jul 21, 2011        "
488,"Jul 21, 2011        "
489,"Jun 29, 2011        "
490,"Jun 19, 2011        "
491,"Jun 13, 2011        "
492,"Jun 6, 2011         "
493,"Jun 6, 2011         "
494,"Mar 27, 2011        "
495,"Mar 27, 2011        "
496,"Mar 27, 2011        "
497,"Mar 27, 2011        "
498,"Mar 27, 2011        "
499,"Mar 27, 2011        "
500,"Mar 27, 2011        "
501,"Mar 27, 2011        "
502,"Mar 27, 2011        "
503,"Mar 27, 2011        "
504,"Mar 27, 2011        "
505,"Mar 6, 2011         "
506,"Mar 6, 2011         "
507,"Feb 14, 2011        "
508,"Feb 7, 2011         "
509,TBA                 
510,TBA                 
511,TBA 2010            
512,"Dec 20, 2010        "
513,"Dec 12, 2010        "
514,"Dec 6, 2010         "
515,"Nov 29, 2010        "
516,"Nov 22, 2010        "
517,"Nov 21, 2010        "
518,"Nov 14, 2010        "
519,"Nov 7, 2010         "
520,"Nov 2, 2010         "
521,"Oct 26, 2010        "
522,"Oct 18, 2010        "
523,"Oct 18, 2010        "
524,"Oct 17, 2010        "
525,"Oct 4, 2010         "
526,"Oct 3, 2010         "
527,"Sep 28, 2010        "
528,"Sep 20, 2010        "
529,"Sep 12, 2010        "
530,"Aug 31, 2010        "
531,"Jul 26, 2010        "
532,"Jul 19, 2010        "
533,"Jul 11, 2010        "
534,"Jun 28, 2010        "
535,"Jun 27, 2010        "
536,"Jun 21, 2010        "
537,"Jun 21, 2010        "
538,"Jun 14, 2010        "
539,"Jun 14, 2010        "
540,"Jun 7, 2010         "
541,"May 31, 2010        "
542,"May 25, 2010        "
543,"May 24, 2010        "
544,"May 24, 2010        "
545,"May 23, 2010        "
546,"May 17, 2010        "
547,"May 17, 2010        "
548,"May 10, 2010        "
549,"May 3, 2010         "
550,"Apr 19, 2010        "
551,"Apr 19, 2010        "
552,"Apr 19, 2010        "
553,"Apr 5, 2010         "
554,"Apr 5, 2010         "
555,"Apr 5, 2010         "
556,"Mar 31, 2010        "
557,"Mar 31, 2010        "
558,"Mar 29, 2010        "
559,"Mar 29, 2010        "
560,"Mar 29, 2010        "
561,"Mar 28, 2010        "
562,"Mar 28, 2010        "
563,"Mar 28, 2010        "
564,"Mar 22, 2010        "
565,"Mar 22, 2010        "
566,"Mar 22, 2010        "
567,"Mar 14, 2010        "
568,"Mar 14, 2010        "
569,"Feb 22, 2010        "
570,"Feb 22, 2010        "
571,"Feb 15, 2010        "
572,"Feb 8, 2010         "
573,"Feb 1, 2010         "
574,"Jan 25, 2010        "
575,"Jan 18, 2010        "
576,"Jan 18, 2010        "
577,"Jan 11, 2010        "
578,"Jan 11, 2010        "
579,"Jan 4, 2010         "
580,"Dec 28, 2009        "
581,"Dec 28, 2009        "
582,"Dec 21, 2009        "
583,"Dec 21, 2009        "
584,"Dec 14, 2009        "
585,"Dec 7, 2009         "
586,"Nov 30, 2009        "
587,"Nov 23, 2009        "
588,"Nov 23, 2009        "
589,"Nov 23, 2009        "
590,"Nov 23, 2009        "
591,"Nov 23, 2009        "
592,"Nov 23, 2009        "
593,"Nov 16, 2009        "
594,"Nov 16, 2009        "
595,"Nov 15, 2009        "
596,"Nov 9, 2009         "
597,"Nov 9, 2009         "
598,"Nov 9, 2009         "
599,"Nov 9, 2009         "
600,"Nov 9, 2009         "
601,"Nov 9, 2009         "
602,"Nov 2, 2009         "
603,"Nov 2, 2009         "
604,"Oct 27, 2009        "
605,"Oct 26, 2009        "
606,"Oct 19, 2009        "
607,"Oct 19, 2009        "
608,"Oct 19, 2009        "
609,"Oct 19, 2009        "
610,"Oct 19, 2009        "
611,"Oct 12, 2009        "
612,"Oct 12, 2009        "
613,"Oct 4, 2009         "
614,"Sep 28, 2009        "
615,"Sep 21, 2009        "
616,"Sep 21, 2009        "
617,"Sep 14, 2009        "
618,"Sep 14, 2009        "
619,"Sep 7, 2009         "
620,"Aug 31, 2009        "
621,"Aug 24, 2009        "
622,"Aug 24, 2009        "
623,"Aug 17, 2009        "
624,"Aug 17, 2009        "
625,"Aug 12, 2009        "
626,"Aug 10, 2009        "
627,"Aug 10, 2009        "
628,"Aug 10, 2009        "
629,"Aug 3, 2009         "
630,"Jul 26, 2009        "
631,"Jul 20, 2009        "
632,"Jul 6, 2009         "
633,"Jul 6, 2009         "
634,"Jun 22, 2009        "
635,"Jun 15, 2009        "
636,"Jun 15, 2009        "
637,"Jun 8, 2009         "
638,"Jun 7, 2009         "
639,"May 26, 2009        "
640,"May 25, 2009        "
641,"May 18, 2009        "
642,"May 18, 2009        "
643,"May 18, 2009        "
644,"May 4, 2009         "
645,"May 4, 2009         "
646,"May 4, 2009         "
647,"Apr 27, 2009        "
648,"Apr 27, 2009        "
649,"Apr 20, 2009        "
650,"Apr 20, 2009        "
651,"Apr 20, 2009        "
652,"Apr 13, 2009        "
653,"Apr 5, 2009         "
654,"Apr 5, 2009         "
655,"Apr 5, 2009         "
656,"Apr 5, 2009         "
657,"Apr 5, 2009         "
658,"Apr 5, 2009         "
659,"Apr 5, 2009         "
660,"Mar 30, 2009        "
661,"Mar 30, 2009        "
662,"Mar 22, 2009        "
663,"Mar 16, 2009        "
664,"Mar 9, 2009         "
665,"Mar 9, 2009         "
666,"Feb 16, 2009        "
667,"Feb 2, 2009         "
668,"Jan 13, 2009        "
669,"Jan 5, 2009         "
670,"Dec 29, 2008        "
671,"Dec 29, 2008        "
672,"Dec 15, 2008        "
673,"Nov 24, 2008        "
674,"Nov 16, 2008        "
675,"Nov 10, 2008        "
676,"Oct 27, 2008        "
677,"Oct 20, 2008        "
678,"Oct 13, 2008        "
679,"Oct 6, 2008         "
680,"Sep 29, 2008        "
681,"Sep 22, 2008        "
682,"Sep 22, 2008        "
683,"Sep 8, 2008         "
684,"Sep 1, 2008         "
685,"Sep 1, 2008         "
686,"Aug 25, 2008        "
687,"Jul 14, 2008        "
688,"Jun 30, 2008        "
689,"Jun 9, 2008         "
690,"May 26, 2008        "
691,"May 19, 2008        "
692,"May 5, 2008         "
693,"May 5, 2008         "
694,"Apr 27, 2008        "
695,"Apr 20, 2008        "
696,"Apr 20, 2008        "
697,"Apr 7, 2008         "
698,"Mar 31, 2008        "
699,"Mar 9, 2008         "
700,"Feb 25, 2008        "
701,"Feb 10, 2008        "
702,"Jan 28, 2008        "
703,"Jan 22, 2008        "
704,"Jan 21, 2008        "
705,"Jan 21, 2008        "
706,"Jan 21, 2008        "
707,"Jan 7, 2008         "
708,"Dec 24, 2007        "
709,"Dec 10, 2007        "
710,"Nov 26, 2007        "
711,"Nov 26, 2007        "
